Version	GMID-X v 1.0			
Chemistry Kit	PowerPlex_Fusion_6C_Panels_IDX_v1.2			
BinSet Name	PowerPlex_Fusion_6C_Bins_IDX_v1.2			
Panel Name	PowerPlex_Fusion_6C_Panels_IDX_v1.2			
Marker Name	AMEL			
16	416.41	0.5	0.5	
17	420.28	0.5	0.5	
17.2	422.22	0.5	0.4	virtual
17.3	423.19	0.4	0.4	virtual
18	424.16	0.5	0.5	
18.2	426.13	0.5	0.4	virtual
18.3	427.11	0.4	0.4	virtual
19	428.09	0.4	0.5	
19.3	431.07	0.5	0.4	virtual
20	432.06	0.4	0.5	
20.3	435.05	0.5	0.4	virtual
21	436.04	0.4	0.5	
22	440.03	0.5	0.5	
22.2	442.04	0.5	0.5	virtual
23	444.05	0.5	0.5	
24	448.02	0.5	0.5	
25	451.96	0.5	0.5	
26	455.92	0.5	0.5	virtual
