Version	GMID-X v 1.0											
Chemistry Kit	PowerPlex_Fusion_Panels_IDX_v2.0											
BinSet Name	PowerPlex_Fusion_Bins_IDX_v2.0											
Panel Name	PowerPlex_Fusion_Panels_IDX_v2.0											
Marker Name	AMEL											
15	271.18	0.5	0.5									
16	275.1	0.5	0.4									
16.1	276.07	0.4	0.4	virtual								
16.2	277.03	0.4	0.5	virtual								
17	278.96	0.5	0.5									
17.2	280.9	0.5	0.5	virtual								
18	282.83	0.5	0.5									
18.2	284.7	0.5	0.5									
19	286.66	0.5	0.4									
19.1	287.61	0.4	0.4	virtual								
19.2	288.55	0.4	0.4									
19.3	289.54	0.4	0.4	virtual								
20	290.53	0.4	0.4									
20.1	291.48	0.4	0.4	virtual								
20.2	292.43	0.4	0.4									
20.3	293.41	0.4	0.4	virtual								
21	294.39	0.4	0.4									
21.1	295.33	0.4	0.4	virtual								
21.2	296.27	0.4	0.4									
21.3	297.27	0.4	0.4	virtual								
22	298.26	0.4	0.4									
22.1	299.19	0.4	0.4	virtual								
22.2	300.12	0.4	0.4									
22.3	301.11	0.4	0.4	virtual								
23	302.1	0.4	0.4									
23.1	303.05	0.4	0.4	virtual								
23.2	304	0.4	0.4									
23.3	305	0.4	0.4	virtual								
24	306	0.4	0.4									
24.1	306.95	0.4	0.4	virtual								
24.2	307.9	0.4	0.4									
24.3	308.9	0.4	0.4	virtual								
25	309.9	0.4	0.4									
25.1	310.86	0.4	0.4	virtual								
25.2	311.81	0.4	0.4									
25.3	312.81	0.4	0.4	virtual								
26	313.8	0.4	0.4									
26.1	314.78	0.4	0.4	virtual								
26.2	315.76	0.4	0.4	virtual								
26.3	316.74	0.4	0.4	virtual								
27	317.72	0.4	0.5									
27.2	319.72	0.5	0.4	virtual								
27.3	320.72	0.4	0.4	virtual								
28	321.72	0.4	0.5									
28.2	323.68	0.5	0.4	virtual								
28.3	324.66	0.4	0.4	virtual								
29	325.64	0.4	0.4									
29.1	326.63	0.4	0.4	virtual								
29.2	327.62	0.4	0.5	virtual								
30	329.6	0.5	0.5									
30.2	331.65	0.5	0.5	virtual								
31	333.71	0.5	0.5	virtual								
31.2	335.76	0.5	0.5									
32	337.73	0.5	0.5	virtual								
32.2	339.7	0.5	0.5									
33.2	343.66	0.5	0.5									
34.2	347.62	0.5	0.5	virtual								
41.2	375.09	0.5	0.5	virtual								
42.2	379.04	0.5	0.5									
43.2	382.99	0.5	0.5									
44.2	386.88	0.5	0.5									
45.2	390.8	0.5	0.5									
46.2	394.66	0.5	0.5									
47.2	398.54	0.5	0.5	virtual								
48.2	402.42	0.5	0.5									
49.2	406.29	0.5	0.5	virtual								
50.2	410.16	0.5	0.5									
51.2	414.03	0.5	0.5	virtual								
Marker Name	D22S1045											
6	425.34	0.5	0.5	virtual								
7	428.46	0.5	0.5									
8	431.58	0.5	0.5									
9	434.7	0.5	0.5									
10	437.85	0.5	0.5									
11	440.95	0.5	0.5									
12	444.09	0.5	0.5									
13	447.21	0.5	0.5									
14	450.3	0.5	0.5									
15	453.31	0.5	0.5									
16	456.32	0.5	0.5									
17	459.32	0.5	0.5									
18	462.33	0.5	0.5									
19	465.32	0.5	0.5									
20	468.34	0.5	0.5									
