Version	GMID-X v 1.0			
Chemistry Kit	PowerPlex_Fusion_POP7_Panels_IDX_v2.0			
BinSet Name	PowerPlex_Fusion_POP7_Bins_IDX_v2.0			
Panel Name	PowerPlex_Fusion_POP7_Panels_IDX_v2.0			
Marker Name	AMEL			
16	236.59	0.5	0.4	
16.1	237.6	0.4	0.4	virtual
16.2	238.6	0.4	0.5	
17	240.55	0.5	0.5	
17.2	242.54	0.5	0.5	
18	244.51	0.5	0.5	
18.1	245.51	0.4	0.4	virtual
18.2	246.51	0.5	0.5	
19	248.51	0.5	0.5	virtual
19.2	250.51	0.5	0.5	virtual
Marker Name	FGA			
12.2	262.53	0.5	0.5	virtual
13	264.44	0.5	0.5	virtual
14	268.27	0.5	0.5	
15	272.1	0.5	0.5	
16	275.93	0.5	0.4	
16.1	276.88	0.4	0.4	virtual
16.2	277.84	0.4	0.5	virtual
17	279.74	0.5	0.5	
17.2	281.63	0.5	0.5	virtual
18	283.52	0.5	0.5	
18.2	285.36	0.5	0.5	
19	287.3	0.5	0.4	
19.1	288.22	0.4	0.4	virtual
19.2	289.13	0.4	0.4	
19.3	290.1	0.4	0.4	virtual
20	291.07	0.4	0.4	
20.1	291.99	0.4	0.4	virtual
20.2	292.91	0.4	0.4	
20.3	293.88	0.4	0.4	virtual
21	294.85	0.4	0.4	
21.1	295.77	0.4	0.4	virtual
21.2	296.68	0.4	0.4	
21.3	297.65	0.4	0.4	virtual
22	298.62	0.4	0.4	
22.1	299.54	0.4	0.4	virtual
22.2	300.46	0.4	0.4	
22.3	301.44	0.4	0.4	virtual
23	302.41	0.4	0.4	
23.1	303.33	0.4	0.4	virtual
23.2	304.25	0.4	0.4	
23.3	305.22	0.4	0.4	virtual
24	306.19	0.4	0.4	
24.1	307.12	0.4	0.4	virtual
24.2	308.05	0.4	0.4	
24.3	309.03	0.4	0.4	virtual
25	310.01	0.4	0.4	
25.1	310.93	0.4	0.4	virtual
25.2	311.84	0.4	0.4	
25.3	312.81	0.4	0.4	virtual
26	313.78	0.4	0.4	
26.1	314.74	0.4	0.4	virtual
26.2	315.7	0.4	0.4	virtual
26.3	316.65	0.4	0.4	virtual
27	317.61	0.4	0.5	
27.2	319.56	0.5	0.4	virtual
27.3	320.54	0.4	0.4	virtual
28	321.51	0.4	0.5	
28.2	323.43	0.5	0.4	virtual
28.3	324.38	0.4	0.4	virtual
29	325.34	0.4	0.4	
29.1	326.3	0.4	0.4	virtual
29.2	327.25	0.4	0.5	virtual
30	329.16	0.5	0.5	
30.2	331.21	0.5	0.5	virtual
31	333.25	0.5	0.5	virtual
31.2	335.3	0.5	0.5	
32	337.22	0.5	0.5	virtual
32.2	339.14	0.5	0.5	
33.2	342.98	0.5	0.5	
34.2	346.82	0.5	0.5	virtual
41.2	373.99	0.5	0.5	virtual
42.2	377.9	0.5	0.5	
43.2	381.81	0.5	0.5	
44.2	385.55	0.5	0.5	
45.2	389.4	0.5	0.5	
46.2	393.09	0.5	0.5	
47.2	396.89	0.5	0.5	virtual
48.2	400.69	0.5	0.5	
49.2	404.54	0.5	0.5	virtual
50.2	408.39	0.5	0.5	
51.2	412.24	0.5	0.5	virtual
Marker Name	D22S1045			
6	428.22	0.5	0.5	virtual
7	431.33	0.5	0.5	
8	434.44	0.5	0.5	
9	437.58	0.5	0.5	
10	440.67	0.5	0.5	
11	443.8	0.5	0.5	
12	446.88	0.5	0.5	
13	449.98	0.5	0.5	
14	453.03	0.5	0.5	
15	456.06	0.5	0.5	
16	459.1	0.5	0.5	
17	462.13	0.5	0.5	
18	465.17	0.5	0.5	
19	468.2	0.5	0.5	
20	471.23	0.5	0.5	
